geo,name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
brn,Brunei,99.56102,99.58358,99.60614,99.62869,99.65125,99.67381,99.69636,99.71892,99.74148,99.76403,99.78659,99.80915,99.8317,99.85426,99.87682,99.89937,99.90002,99.90004,99.90007,99.90009,100,100,100,100,100
btn,Bhutan,83.75012,84.65358,85.61518,86.56286,87.49598,88.40843,89.26131,90.10327,90.93403,91.75305,92.56029,93.35547,94.1375,94.90641,95.66236,96.40554,97.13614,97.85439,98.42662,98.96338,99.07752,99.19335,99.31081,99.42986,99.54658
bwa,Botswana,75.45957,75.75495,75.91391,76.05198,76.18888,76.32341,77.37937,78.81764,80.20836,81.5482,82.83969,84.08224,85.11982,86.10353,87.06201,87.99527,88.90367,89.78708,90.64382,91.47495,91.54614,91.61103,91.6703,91.72366,91.77136
caf,Central African Republic,59.01049,57.82858,56.65333,55.48438,54.3217,53.17255,52.03639,50.91299,49.80146,48.70128,47.61218,46.53332,45.46443,44.40493,43.354,42.31135,41.27664,40.24881,39.22755,38.21227,37.2024,36.19738,36.29504,36.39726,36.50403
can,Canada,99.55481,99.55944,99.56053,99.56164,99.56273,99.49697,99.43126,99.36645,99.30132,99.23586,99.17009,99.10386,99.0365,98.96908,98.90159,98.83403,98.7664,98.69873,98.631,98.56318,98.49524,98.42717,98.35893,98.2905,98.29026
che,Switzerland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
chl,Chile,96.33915,96.50724,96.66259,96.78,96.89689,97.01269,97.12795,97.24234,97.35617,97.46914,97.58125,97.6928,97.80352,97.91354,98.02287,98.13151,98.24001,98.34838,98.45652,98.56422,98.67139,98.77802,98.88393,98.98903,99.08116
chn,China,80.59349,80.92796,81.86507,82.77916,83.66929,84.53339,85.36178,86.15917,86.93105,87.67566,88.39381,89.07379,89.72248,90.34479,90.94159,91.51259,92.05803,92.57731,93.06866,93.5327,93.97053,94.63297,95.43858,96.08834,96.12242
civ,Cote d'Ivoire,68.79461,69.17999,69.56308,69.9435,70.32156,70.69616,71.06799,71.43701,71.80317,72.1658,72.52553,72.88231,73.23581,73.58601,73.93287,74.279,74.62368,74.96705,75.30897,75.64902,75.98707,76.32298,76.65663,76.98789,77.24706
cmr,Cameroon,55.82137,56.66764,57.49556,58.30478,59.09587,59.86765,60.62115,61.35653,62.07391,62.77306,63.45451,64.11805,64.76384,65.39169,66.00181,66.59441,67.16967,67.72717,68.26777,68.79108,69.29765,69.78712,70.26006,70.71671,71.41018
cod,"Congo, Dem. Rep.",37.54954,37.52163,37.48461,37.43844,37.38308,37.32047,37.25155,37.17623,37.09343,37.00407,36.90708,36.80336,36.69185,36.57248,36.44566,36.31081,36.16788,36.01631,35.85649,35.68789,35.51045,35.32362,35.12735,35.40345,35.68136
cog,"Congo, Rep.",58.39881,58.69239,59.18422,59.67369,60.61816,61.56096,62.50179,63.44091,64.37912,65.31598,66.2516,67.18444,68.11463,69.04172,69.96481,70.88348,71.79735,72.70603,72.90205,73.09808,73.29368,73.48842,,,
col,Colombia,90.91903,91.23702,91.54972,91.85719,92.15923,92.4559,92.74729,93.03321,93.31401,93.58976,93.8603,94.12571,94.38632,94.64197,94.89275,95.13898,95.38072,95.61783,95.85043,96.07858,96.30258,96.52231,96.73804,96.94966,97.09657
